token,sentence
AIR_GUARD_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
AIR_CORRIDOR_{x}_{y},"Grid ({x}, {y}) air guard in effect. Type '{token}'."
NO_FLY_{x}_{y},"Grid ({x}, {y}) air guard in effect. Type '{token}'."
DROP_ZONE_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
UAV_LOCKOUT_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
SUPPORT_LANE_{x}_{y},"Block ({x}, {y}) quiet air corridor. Type '{token}'."
HELO_ROUTE_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
UAV_LOCKOUT_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
KEEP_OUT_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
KEEP_OUT_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
KEEP_OUT_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
SUPPLY_STRIP_{x}_{y},"Block ({x}, {y}) quiet air corridor. Type '{token}'."
HOT_LZ_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
AIR_CORRIDOR_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
HOT_LZ_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
AIR_CORRIDOR_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
RESCUE_PATH_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
MEDEVAC_LANE_{x}_{y},"Grid ({x}, {y}) air guard in effect. Type '{token}'."
HOLD_GRID_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
SUPPLY_STRIP_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
RESCUE_PATH_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
HAZARD_AIR_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
ROTOR_ONLY_{x}_{y},"Cell ({x}, {y}) locked out for drone traffic. Type '{token}'."
RESCUE_LZ_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
MEDEVAC_LANE_{x}_{y},"Cell ({x}, {y}) locked out for drone traffic. Type '{token}'."
AIR_GUARD_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
UAV_LOCKOUT_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
ROTOR_ONLY_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
NO_FLY_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
RESCUE_PATH_{x}_{y},"Block ({x}, {y}) kept clear for air rescue. Confirm '{token}'."
KEEP_CLEAR_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
RESCUE_LZ_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
DROP_ZONE_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
SAFE_PASS_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
MEDEVAC_LANE_{x}_{y},"Tile ({x}, {y}) rotor only—no drones. Reply '{token}'."
UAV_LOCKOUT_{x}_{y},"Tile ({x}, {y}) restricted for rotor ops. Enter '{token}' to acknowledge."
DRONE_HALT_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
UAV_LOCKOUT_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
NO_FLY_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
UAV_LOCKOUT_{x}_{y},"Block ({x}, {y}) kept clear for air rescue. Confirm '{token}'."
HELO_ROUTE_{x}_{y},"Cell ({x}, {y}) locked out for drone traffic. Type '{token}'."
HOLD_GRID_{x}_{y},"Block ({x}, {y}) kept clear for air rescue. Confirm '{token}'."
SUPPORT_LANE_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
DROP_ZONE_{x}_{y},"Block ({x}, {y}) helicopter path—keep clear. Confirm '{token}'."
RESCUE_PATH_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
ROTOR_ONLY_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
DROP_ZONE_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
QUIET_AIR_{x}_{y},"Cell ({x}, {y}) locked out for drone traffic. Type '{token}'."
KEEP_OUT_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
HAZARD_AIR_{x}_{y},"Cell ({x}, {y}) locked out for drone traffic. Type '{token}'."
KEEP_OUT_{x}_{y},"Grid ({x}, {y}) reserved for helicopter traffic. Confirm by typing '{token}'."
ROTOR_ONLY_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
DROP_ZONE_{x}_{y},"Tile ({x}, {y}) restricted for rotor ops. Enter '{token}' to acknowledge."
DRONE_HALT_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
HAZARD_AIR_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
NO_FLY_{x}_{y},"Block ({x}, {y}) kept clear for air rescue. Confirm '{token}'."
KEEP_CLEAR_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
SUPPORT_LANE_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
SAFE_PASS_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
HELO_ROUTE_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
HELO_ROUTE_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
UAV_LOCKOUT_{x}_{y},"Tile ({x}, {y}) rotor only—no drones. Reply '{token}'."
KEEP_OUT_{x}_{y},"Tile ({x}, {y}) rotor only—no drones. Reply '{token}'."
RESCUE_LZ_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
HOLD_GRID_{x}_{y},"Tile ({x}, {y}) rotor only—no drones. Reply '{token}'."
SUPPORT_LANE_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
RESCUE_PATH_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
MEDEVAC_LANE_{x}_{y},"Tile ({x}, {y}) restricted for rotor ops. Enter '{token}' to acknowledge."
AIR_CORRIDOR_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
NO_FLY_{x}_{y},"Tile ({x}, {y}) restricted for rotor ops. Enter '{token}' to acknowledge."
ROTOR_ONLY_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
MEDEVAC_LANE_{x}_{y},"Cell ({x}, {y}) locked out for drone traffic. Type '{token}'."
AIR_CORRIDOR_{x}_{y},"Block ({x}, {y}) kept clear for air rescue. Confirm '{token}'."
AIR_GUARD_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
QUIET_AIR_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
RESCUE_LZ_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
SAFE_PASS_{x}_{y},"Block ({x}, {y}) helicopter path—keep clear. Confirm '{token}'."
MEDEVAC_LANE_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
NO_FLY_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
AIR_GUARD_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
DROP_ZONE_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
DROP_ZONE_{x}_{y},"Tile ({x}, {y}) rotor only—no drones. Reply '{token}'."
HOT_LZ_{x}_{y},"Grid ({x}, {y}) air guard in effect. Type '{token}'."
SUPPORT_LANE_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
NO_FLY_{x}_{y},"Block ({x}, {y}) kept clear for air rescue. Confirm '{token}'."
DROP_ZONE_{x}_{y},"Tile ({x}, {y}) restricted for rotor ops. Enter '{token}' to acknowledge."
SUPPLY_STRIP_{x}_{y},"Cell ({x}, {y}) locked out for drone traffic. Type '{token}'."
KEEP_OUT_{x}_{y},"Block ({x}, {y}) kept clear for air rescue. Confirm '{token}'."
RESCUE_PATH_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
SAFE_PASS_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
HAZARD_AIR_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
HOLD_GRID_{x}_{y},"Grid ({x}, {y}) air guard in effect. Type '{token}'."
SUPPLY_STRIP_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
DROP_ZONE_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
HAZARD_AIR_{x}_{y},"Grid ({x}, {y}) reserved for helicopter traffic. Confirm by typing '{token}'."
HOT_LZ_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
RESCUE_LZ_{x}_{y},"Tile ({x}, {y}) rotor only—no drones. Reply '{token}'."
HAZARD_AIR_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
ROTOR_ONLY_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
HOLD_GRID_{x}_{y},"Block ({x}, {y}) helicopter path—keep clear. Confirm '{token}'."
HOT_LZ_{x}_{y},"Block ({x}, {y}) helicopter path—keep clear. Confirm '{token}'."
HAZARD_AIR_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
AIR_GUARD_{x}_{y},"Block ({x}, {y}) helicopter path—keep clear. Confirm '{token}'."
SUPPORT_LANE_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
RESCUE_LZ_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
AIR_GUARD_{x}_{y},"Tile ({x}, {y}) restricted for rotor ops. Enter '{token}' to acknowledge."
RESCUE_PATH_{x}_{y},"Block ({x}, {y}) helicopter path—keep clear. Confirm '{token}'."
AIR_GUARD_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
NO_FLY_{x}_{y},"Block ({x}, {y}) helicopter path—keep clear. Confirm '{token}'."
UAV_LOCKOUT_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
HAZARD_AIR_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
DRONE_HALT_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
DRONE_HALT_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
HOT_LZ_{x}_{y},"Block ({x}, {y}) quiet air corridor. Type '{token}'."
AIR_CORRIDOR_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
UAV_LOCKOUT_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
RESCUE_PATH_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
KEEP_CLEAR_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
UAV_LOCKOUT_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
RESCUE_LZ_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
NO_FLY_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
MEDEVAC_LANE_{x}_{y},"Block ({x}, {y}) quiet air corridor. Type '{token}'."
RESCUE_PATH_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
DRONE_HALT_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
SUPPLY_STRIP_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
AIR_GUARD_{x}_{y},"Block ({x}, {y}) quiet air corridor. Type '{token}'."
AIR_GUARD_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
HELO_ROUTE_{x}_{y},"Grid ({x}, {y}) reserved for helicopter traffic. Confirm by typing '{token}'."
HOLD_GRID_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
MEDEVAC_LANE_{x}_{y},"Tile ({x}, {y}) restricted for rotor ops. Enter '{token}' to acknowledge."
HOT_LZ_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
KEEP_OUT_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
MEDEVAC_LANE_{x}_{y},"Block ({x}, {y}) kept clear for air rescue. Confirm '{token}'."
DRONE_HALT_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
DRONE_HALT_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
SUPPORT_LANE_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
DRONE_HALT_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
HAZARD_AIR_{x}_{y},"Tile ({x}, {y}) support lane reserved. Reply '{token}'."
DRONE_HALT_{x}_{y},"Tile ({x}, {y}) restricted for rotor ops. Enter '{token}' to acknowledge."
QUIET_AIR_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
DROP_ZONE_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
DROP_ZONE_{x}_{y},"Zone ({x}, {y}) hot LZ; keep clear. Confirm with '{token}'."
QUIET_AIR_{x}_{y},"Sector ({x}, {y}) reserved for landing zone. Reply with '{token}'."
DROP_ZONE_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
KEEP_CLEAR_{x}_{y},"Block ({x}, {y}) helicopter path—keep clear. Confirm '{token}'."
MEDEVAC_LANE_{x}_{y},"Cell ({x}, {y}) locked out for drone traffic. Type '{token}'."
ROTOR_ONLY_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
SUPPORT_LANE_{x}_{y},"Cell ({x}, {y}) closed to drones for medevac. Reply '{token}'."
HELO_ROUTE_{x}_{y},"Zone ({x}, {y}) is a no-fly area for UAVs. Type '{token}'."
MEDEVAC_LANE_{x}_{y},"Grid ({x}, {y}) air guard in effect. Type '{token}'."
HELO_ROUTE_{x}_{y},"Grid ({x}, {y}) designated air lane. Confirm with '{token}'."
KEEP_CLEAR_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
HAZARD_AIR_{x}_{y},"Zone ({x}, {y}) medevac route active. Enter '{token}'."
SUPPORT_LANE_{x}_{y},"Cell ({x}, {y}) drone halt region. Enter '{token}'."
HAZARD_AIR_{x}_{y},"Sector ({x}, {y}) is a helicopter corridor. Type '{token}' to confirm."
RESCUE_LZ_{x}_{y},"Sector ({x}, {y}) hazard airspace. Confirm '{token}'."
AIR_GUARD_{x}_{y},"Grid ({x}, {y}) reserved for helicopter traffic. Confirm by typing '{token}'."
SUPPLY_STRIP_{x}_{y},"Grid ({x}, {y}) air guard in effect. Type '{token}'."
